case_id,base_id,source_id,family,severity,pixel_auroc,iou_at_clean_pixel_q95,positive_map_inside_outside_ratio,mask_fraction
esp_017395_1700_red-0007_patch_duplication_0.5,esp_017395_1700_red-0007,esp_017395_1700,patch_duplication,0.5,0.5323810259501139,0.0,1.3514078855514526,0.0625
esp_017395_1700_red-0007_foreign_content_0.15,esp_017395_1700_red-0007,esp_017395_1700,foreign_content,0.15,0.7840699695405506,0.0,1.9770779609680176,0.015625
esp_017395_1700_red-0007_foreign_content_0.3,esp_017395_1700_red-0007,esp_017395_1700,foreign_content,0.3,0.6864949903395552,0.0,1.481431245803833,0.03228759765625
esp_017395_1700_red-0007_foreign_content_0.5,esp_017395_1700_red-0007,esp_017395_1700,foreign_content,0.5,0.3156383514404297,0.0,0.5253298878669739,0.0625
esp_012057_0950_red-0111_stripes_0.15,esp_012057_0950_red-0111,esp_012057_0950,stripes,0.15,,0.0,,1.0
esp_012057_0950_red-0111_stripes_0.3,esp_012057_0950_red-0111,esp_012057_0950,stripes,0.3,,0.0,,1.0
esp_012057_0950_red-0111_stripes_0.5,esp_012057_0950_red-0111,esp_012057_0950,stripes,0.5,,0.0,,1.0
esp_012057_0950_red-0111_dead_pixels_0.15,esp_012057_0950_red-0111,esp_012057_0950,dead_pixels,0.15,0.8474324170018013,0.7526881720430108,22.9180908203125,0.00567626953125
esp_012057_0950_red-0111_dead_pixels_0.3,esp_012057_0950_red-0111,esp_012057_0950,dead_pixels,0.3,0.8931458963446556,0.795774647887324,25.09931182861328,0.00860595703125
esp_012057_0950_red-0111_dead_pixels_0.5,esp_012057_0950_red-0111,esp_012057_0950,dead_pixels,0.5,0.8609421646734619,0.7666666666666667,28.429323196411133,0.0128173828125
esp_012057_0950_red-0111_missing_patch_0.15,esp_012057_0950_red-0111,esp_012057_0950,missing_patch,0.15,0.8139902750651041,0.0,3.643587827682495,0.015625
esp_012057_0950_red-0111_missing_patch_0.3,esp_012057_0950_red-0111,esp_012057_0950,missing_patch,0.3,0.8567263939088824,0.0,3.7939705848693848,0.03228759765625
esp_012057_0950_red-0111_missing_patch_0.5,esp_012057_0950_red-0111,esp_012057_0950,missing_patch,0.5,0.856492551167806,0.13411078717201166,4.276545524597168,0.0625
esp_012057_0950_red-0111_local_blur_0.15,esp_012057_0950_red-0111,esp_012057_0950,local_blur,0.15,0.5964461640137316,0.0,1.206539273262024,0.08355712890625
esp_012057_0950_red-0111_local_blur_0.3,esp_012057_0950_red-0111,esp_012057_0950,local_blur,0.3,0.6066081331814461,0.0,1.1785106658935547,0.11285400390625
esp_012057_0950_red-0111_local_blur_0.5,esp_012057_0950_red-0111,esp_012057_0950,local_blur,0.5,0.6197107508893479,0.0,1.309190034866333,0.15875244140625
esp_012057_0950_red-0111_patch_duplication_0.15,esp_012057_0950_red-0111,esp_012057_0950,patch_duplication,0.15,0.36035374232700895,0.00390625,0.9043425917625427,0.015625
esp_012057_0950_red-0111_patch_duplication_0.3,esp_012057_0950_red-0111,esp_012057_0950,patch_duplication,0.3,0.3865817286741435,0.001890359168241966,0.7977777719497681,0.03228759765625
esp_012057_0950_red-0111_patch_duplication_0.5,esp_012057_0950_red-0111,esp_012057_0950,patch_duplication,0.5,0.46288671493530276,0.0,1.0614722967147827,0.0625
esp_012057_0950_red-0111_foreign_content_0.15,esp_012057_0950_red-0111,esp_012057_0950,foreign_content,0.15,0.7979798089890253,0.0,2.207944631576538,0.015625
esp_012057_0950_red-0111_foreign_content_0.3,esp_012057_0950_red-0111,esp_012057_0950,foreign_content,0.3,0.7755215477695729,0.0,1.9621226787567139,0.03228759765625
esp_012057_0950_red-0111_foreign_content_0.5,esp_012057_0950_red-0111,esp_012057_0950,foreign_content,0.5,0.5501351992289225,0.0,0.8716044425964355,0.0625
esp_049651_1050_red-0070_stripes_0.15,esp_049651_1050_red-0070,esp_049651_1050,stripes,0.15,,0.0,,1.0
esp_049651_1050_red-0070_stripes_0.3,esp_049651_1050_red-0070,esp_049651_1050,stripes,0.3,,0.0,,1.0
esp_049651_1050_red-0070_stripes_0.5,esp_049651_1050_red-0070,esp_049651_1050,stripes,0.5,,0.000244140625,,1.0
esp_049651_1050_red-0070_dead_pixels_0.15,esp_049651_1050_red-0070,esp_049651_1050,dead_pixels,0.15,0.8496339444478509,0.64,7.175344944000244,0.00457763671875
