variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
DINO_spectral_mean,family,blur/noise,0.93359375,0.9261076269713268,0.7264957264957265,0.8854166666666666,0.7981220657276995,0.25,0.8854166666666666,85,32,96,11,2.3532106916129485,0.9895833333333334,96,224,0.6124267766787462
DINO_spectral_mean,family,clipping,0.9654134114583334,0.9590107709690734,0.746031746031746,0.9791666666666666,0.846846846846847,0.25,0.9791666666666666,94,32,96,2,2.5089150260358752,1.0,96,224,0.6124267766787462
DINO_spectral_mean,family,dead lines/pixels,0.9969075520833334,0.997977233196855,0.8571428571428571,1.0,0.923076923076923,0.25,1.0,192,32,96,0,4.474962247060653,1.0,192,320,0.6124267766787462
DINO_spectral_mean,family,foreign/synthetic contamination,1.0,1.0,0.75,1.0,0.8571428571428571,0.25,1.0,96,32,96,0,7.887840462014973,1.0,96,224,0.6124267766787462
DINO_spectral_mean,family,missing crop,0.9578450520833334,0.947181294249521,0.744,0.96875,0.8416289592760181,0.25,0.96875,93,32,96,3,2.161559216578305,0.9895833333333334,96,224,0.6124267766787462
DINO_spectral_mean,family,patch duplication,0.7323404947916666,0.680355105934141,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.25,0.5833333333333334,56,32,96,40,0.7847068058728606,0.8854166666666666,96,224,0.6124267766787462
DINO_spectral_mean,family,stripes,0.9869791666666666,0.9903852810228354,0.8571428571428571,1.0,0.923076923076923,0.25,1.0,192,32,96,0,2.0732023304281326,1.0,192,320,0.6124267766787462
DINO_spectral_mean,severity,0.2,0.9058948863636364,0.9658630508028077,0.906158357771261,0.8778409090909091,0.8917748917748917,0.25,0.8778409090909091,309,32,96,43,1.9223165022229298,0.9602272727272727,352,480,0.6124267766787462
DINO_spectral_mean,severity,0.5,0.9447132457386364,0.9813016409449387,0.9101123595505618,0.9204545454545454,0.9152542372881356,0.25,0.9204545454545454,324,32,96,28,2.360602292434691,0.9829545454545454,352,480,0.6124267766787462
DINO_spectral_mean,severity,0.8,0.9474875710227273,0.9815067430049766,0.9106145251396648,0.9261363636363636,0.9183098591549295,0.25,0.9261363636363636,326,32,96,26,2.7312104731344657,0.9914772727272727,352,480,0.6124267766787462
